,parameter,RPT
0,5,0.25998867023884076
0,20,0.2821121116989267
0,35,0.2832465312874258
0,50,0.2889048870673509
0,65,0.29014347040220917
0,80,0.29292691785880764
0,95,0.3097112104373235
0,110,0.3223691064690379
0,125,0.3293004653865487
0,140,0.30238860246058336
0,155,0.3112604792508096
0,170,0.3164638234460752
0,185,0.31338474935973193
0,200,0.32551204805875333
0,215,0.3246103525740908
0,230,0.30735871803804266
0,245,0.31580068520020266
0,260,0.3255507617870835
0,275,0.31771334621595365
0,290,0.31338667451215446
0,305,0.3162099210039274
0,320,0.31133871885957504
0,335,0.32026954735451424
0,350,0.30403691651422504
0,365,0.3085977379568084
0,380,0.3066453904457777
